Country,sex,age,data,start_year,end_year,rsq,period
Canada,female,36,"<df[,2]>",1975,1990,0.7074137813728836,1975-1990
Canada,female,36,"<df[,2]>",1975,2018,0.7313768377585258,1975 onwards
Canada,female,36,"<df[,2]>",1991,2018,0.623292278651766,1991 onwards
Canada,female,37,"<df[,2]>",1975,1990,0.748082082733412,1975-1990
Canada,female,37,"<df[,2]>",1975,2018,0.8357908781897219,1975 onwards
Canada,female,37,"<df[,2]>",1991,2018,0.6559188166986796,1991 onwards
Canada,female,38,"<df[,2]>",1975,1990,0.7702797153149241,1975-1990
Canada,female,38,"<df[,2]>",1975,2018,0.8269351301577857,1975 onwards
Canada,female,38,"<df[,2]>",1991,2018,0.5645288138805654,1991 onwards
Canada,female,39,"<df[,2]>",1975,1990,0.8087488421012612,1975-1990
Canada,female,39,"<df[,2]>",1975,2018,0.8464622543959144,1975 onwards
Canada,female,39,"<df[,2]>",1991,2018,0.7752993892228176,1991 onwards
Canada,female,40,"<df[,2]>",1975,1990,0.7213618930492632,1975-1990
Canada,female,40,"<df[,2]>",1975,2018,0.8335947169583909,1975 onwards
Canada,female,40,"<df[,2]>",1991,2018,0.6923203780103937,1991 onwards
Canada,female,41,"<df[,2]>",1975,1990,0.7644998995758184,1975-1990
Canada,female,41,"<df[,2]>",1975,2018,0.8804521489320636,1975 onwards
Canada,female,41,"<df[,2]>",1991,2018,0.7328118089905722,1991 onwards
Canada,female,42,"<df[,2]>",1975,1990,0.8465173571088913,1975-1990
Canada,female,42,"<df[,2]>",1975,2018,0.8812640678056362,1975 onwards
Canada,female,42,"<df[,2]>",1991,2018,0.7612229336901283,1991 onwards
Canada,female,43,"<df[,2]>",1975,1990,0.8422085990003468,1975-1990
Canada,female,43,"<df[,2]>",1975,2018,0.888849481918946,1975 onwards
Canada,female,43,"<df[,2]>",1991,2018,0.7461591266057738,1991 onwards
Canada,female,44,"<df[,2]>",1975,1990,0.8083215432985723,1975-1990
Canada,female,44,"<df[,2]>",1975,2018,0.8905208662348596,1975 onwards
Canada,female,44,"<df[,2]>",1991,2018,0.6697994290770538,1991 onwards
Canada,female,45,"<df[,2]>",1975,1990,0.7753655361534842,1975-1990
Canada,female,45,"<df[,2]>",1975,2018,0.8784227888380954,1975 onwards
Canada,female,45,"<df[,2]>",1991,2018,0.7605639800267936,1991 onwards
Canada,female,46,"<df[,2]>",1975,1990,0.81497779919356,1975-1990
Canada,female,46,"<df[,2]>",1975,2018,0.9173888845866001,1975 onwards
Canada,female,46,"<df[,2]>",1991,2018,0.8430885936856414,1991 onwards
Canada,female,47,"<df[,2]>",1975,1990,0.7898797190550576,1975-1990
Canada,female,47,"<df[,2]>",1975,2018,0.8727598491007245,1975 onwards
Canada,female,47,"<df[,2]>",1991,2018,0.6761069623176341,1991 onwards
Canada,female,48,"<df[,2]>",1975,1990,0.7751296340720334,1975-1990
Canada,female,48,"<df[,2]>",1975,2018,0.9179218252458754,1975 onwards
Canada,female,48,"<df[,2]>",1991,2018,0.7969627372632365,1991 onwards
Canada,female,49,"<df[,2]>",1975,1990,0.8718463724988346,1975-1990
Canada,female,49,"<df[,2]>",1975,2018,0.9456241323459988,1975 onwards
Canada,female,49,"<df[,2]>",1991,2018,0.8494294968440355,1991 onwards
Canada,female,50,"<df[,2]>",1975,1990,0.7695839352896059,1975-1990
Canada,female,50,"<df[,2]>",1975,2018,0.9083436170407735,1975 onwards
Canada,female,50,"<df[,2]>",1991,2018,0.7635194401352282,1991 onwards
Canada,female,51,"<df[,2]>",1975,1990,0.8625945341114942,1975-1990
Canada,female,51,"<df[,2]>",1975,2018,0.9459597658256733,1975 onwards
Canada,female,51,"<df[,2]>",1991,2018,0.8604380153602804,1991 onwards
Canada,female,52,"<df[,2]>",1975,1990,0.8895455822684438,1975-1990
Canada,female,52,"<df[,2]>",1975,2018,0.9194346816884961,1975 onwards
Canada,female,52,"<df[,2]>",1991,2018,0.750001346151641,1991 onwards
Canada,female,53,"<df[,2]>",1975,1990,0.680266999385599,1975-1990
Canada,female,53,"<df[,2]>",1975,2018,0.9262263639255401,1975 onwards
Canada,female,53,"<df[,2]>",1991,2018,0.8187671346425586,1991 onwards
Canada,female,54,"<df[,2]>",1975,1990,0.7746134617435727,1975-1990
Canada,female,54,"<df[,2]>",1975,2018,0.9574090471855099,1975 onwards
Canada,female,54,"<df[,2]>",1991,2018,0.9102010343077205,1991 onwards
Canada,female,55,"<df[,2]>",1975,1990,0.8769240348536298,1975-1990
Canada,female,55,"<df[,2]>",1975,2018,0.9382046165220979,1975 onwards
Canada,female,55,"<df[,2]>",1991,2018,0.8347260478224772,1991 onwards
Canada,female,56,"<df[,2]>",1975,1990,0.7990679745683611,1975-1990
Canada,female,56,"<df[,2]>",1975,2018,0.9547323312687952,1975 onwards
Canada,female,56,"<df[,2]>",1991,2018,0.8633565781511031,1991 onwards
Canada,female,57,"<df[,2]>",1975,1990,0.7314292684726539,1975-1990
Canada,female,57,"<df[,2]>",1975,2018,0.9301877337267797,1975 onwards
Canada,female,57,"<df[,2]>",1991,2018,0.8057034798665106,1991 onwards
Canada,female,58,"<df[,2]>",1975,1990,0.880855042985466,1975-1990
Canada,female,58,"<df[,2]>",1975,2018,0.9664157437708557,1975 onwards
Canada,female,58,"<df[,2]>",1991,2018,0.9056935224689898,1991 onwards
Canada,female,59,"<df[,2]>",1975,1990,0.8680467762601508,1975-1990
Canada,female,59,"<df[,2]>",1975,2018,0.965362637115266,1975 onwards
Canada,female,59,"<df[,2]>",1991,2018,0.907584222005181,1991 onwards
Canada,female,60,"<df[,2]>",1975,1990,0.8371480830745794,1975-1990
Canada,female,60,"<df[,2]>",1975,2018,0.9490428092765386,1975 onwards
Canada,female,60,"<df[,2]>",1991,2018,0.8550552192175371,1991 onwards
Canada,female,61,"<df[,2]>",1975,1990,0.7221933111126154,1975-1990
Canada,female,61,"<df[,2]>",1975,2018,0.9577746711416023,1975 onwards
Canada,female,61,"<df[,2]>",1991,2018,0.9173312408404258,1991 onwards
Canada,female,62,"<df[,2]>",1975,1990,0.9064824362465537,1975-1990
Canada,female,62,"<df[,2]>",1975,2018,0.9767253169573497,1975 onwards
Canada,female,62,"<df[,2]>",1991,2018,0.9362667621420635,1991 onwards
Canada,female,63,"<df[,2]>",1975,1990,0.8166889507420647,1975-1990
Canada,female,63,"<df[,2]>",1975,2018,0.9624321425052884,1975 onwards
Canada,female,63,"<df[,2]>",1991,2018,0.933388066335734,1991 onwards
Canada,female,64,"<df[,2]>",1975,1990,0.8535037091561465,1975-1990
Canada,female,64,"<df[,2]>",1975,2018,0.9758003025619157,1975 onwards
Canada,female,64,"<df[,2]>",1991,2018,0.9528223916864634,1991 onwards
Canada,female,65,"<df[,2]>",1975,1990,0.9115045984031501,1975-1990
Canada,female,65,"<df[,2]>",1975,2018,0.9733540554037816,1975 onwards
Canada,female,65,"<df[,2]>",1991,2018,0.9285586119972864,1991 onwards
Canada,female,66,"<df[,2]>",1975,1990,0.9295955187483189,1975-1990
Canada,female,66,"<df[,2]>",1975,2018,0.9775047152368735,1975 onwards
Canada,female,66,"<df[,2]>",1991,2018,0.9609740272215321,1991 onwards
Canada,female,67,"<df[,2]>",1975,1990,0.8411401784999838,1975-1990
Canada,female,67,"<df[,2]>",1975,2018,0.9703464566428877,1975 onwards
Canada,female,67,"<df[,2]>",1991,2018,0.9617580131150326,1991 onwards
Canada,female,68,"<df[,2]>",1975,1990,0.9163215313271105,1975-1990
Canada,female,68,"<df[,2]>",1975,2018,0.9771670998399327,1975 onwards
Canada,female,68,"<df[,2]>",1991,2018,0.9491073432803947,1991 onwards
Canada,female,69,"<df[,2]>",1975,1990,0.8418737811628294,1975-1990
Canada,female,69,"<df[,2]>",1975,2018,0.9678624878423813,1975 onwards
Canada,female,69,"<df[,2]>",1991,2018,0.9359379253182646,1991 onwards
Canada,female,70,"<df[,2]>",1975,1990,0.9367982124626206,1975-1990
Canada,female,70,"<df[,2]>",1975,2018,0.9801961960766833,1975 onwards
Canada,female,70,"<df[,2]>",1991,2018,0.9565263790512628,1991 onwards
Canada,female,71,"<df[,2]>",1975,1990,0.9211345190315836,1975-1990
Canada,female,71,"<df[,2]>",1975,2018,0.9771793012982676,1975 onwards
Canada,female,71,"<df[,2]>",1991,2018,0.9650196059951001,1991 onwards
Canada,female,72,"<df[,2]>",1975,1990,0.8392726478176924,1975-1990
Canada,female,72,"<df[,2]>",1975,2018,0.9764752984553812,1975 onwards
Canada,female,72,"<df[,2]>",1991,2018,0.9521727811194445,1991 onwards
Canada,female,73,"<df[,2]>",1975,1990,0.9313384695110636,1975-1990
Canada,female,73,"<df[,2]>",1975,2018,0.9698997225989244,1975 onwards
Canada,female,73,"<df[,2]>",1991,2018,0.935164956424871,1991 onwards
