code,year,sex,e0,Country,ch_e0
USA,1993,female,78.94,USA,-0.2400000000000091
CAN,1993,male,74.63,Canada,-0.060000000000002274
FRATNP,1993,male,73.25,France,0.09999999999999432
JPN,1993,male,76.27,Japan,0.12999999999999545
GBR_NP,1993,male,73.44,United Kingdom,-0.07000000000000739
USA,1993,male,72.17,USA,-0.14999999999999147
CAN,1994,female,80.89,Canada,0.09999999999999432
FRATNP,1994,female,81.89,France,0.4300000000000068
JPN,1994,female,82.9,Japan,0.45000000000000284
GBR_NP,1994,female,79.31,United Kingdom,0.5400000000000063
USA,1994,female,79.06,USA,0.12000000000000455
CAN,1994,male,74.87,Canada,0.2400000000000091
FRATNP,1994,male,73.64,France,0.39000000000000057
JPN,1994,male,76.59,Japan,0.3200000000000074
GBR_NP,1994,male,74,United Kingdom,0.5600000000000023
USA,1994,male,72.39,USA,0.21999999999999886
CAN,1995,female,80.97,Canada,0.0799999999999983
FRATNP,1995,female,81.9,France,0.010000000000005116
JPN,1995,female,82.78,Japan,-0.12000000000000455
GBR_NP,1995,female,79.19,United Kingdom,-0.12000000000000455
USA,1995,female,79.09,USA,0.030000000000001137
CAN,1995,male,75.01,Canada,0.14000000000000057
FRATNP,1995,male,73.84,France,0.20000000000000284
JPN,1995,male,76.42,Japan,-0.1700000000000017
GBR_NP,1995,male,73.93,United Kingdom,-0.06999999999999318
USA,1995,male,72.59,USA,0.20000000000000284
CAN,1996,female,81.1,Canada,0.12999999999999545
FRATNP,1996,female,82.05,France,0.14999999999999147
JPN,1996,female,83.5,Japan,0.7199999999999989
GBR_NP,1996,female,79.41,United Kingdom,0.21999999999999886
USA,1996,female,79.22,USA,0.12999999999999545
CAN,1996,male,75.38,Canada,0.36999999999999034
FRATNP,1996,male,74.06,France,0.21999999999999886
JPN,1996,male,77.04,Japan,0.6200000000000045
GBR_NP,1996,male,74.22,United Kingdom,0.28999999999999204
USA,1996,male,73.07,USA,0.47999999999998977
CAN,1997,female,81.2,Canada,0.10000000000000853
FRATNP,1997,female,82.31,France,0.2600000000000051
JPN,1997,female,83.74,Japan,0.23999999999999488
GBR_NP,1997,female,79.59,United Kingdom,0.18000000000000682
USA,1997,female,79.38,USA,0.1599999999999966
CAN,1997,male,75.66,Canada,0.28000000000000114
FRATNP,1997,male,74.51,France,0.45000000000000284
JPN,1997,male,77.25,Japan,0.20999999999999375
GBR_NP,1997,male,74.57,United Kingdom,0.3499999999999943
USA,1997,male,73.54,USA,0.4700000000000131
CAN,1998,female,81.36,Canada,0.1599999999999966
FRATNP,1998,female,82.41,France,0.09999999999999432
JPN,1998,female,83.93,Japan,0.19000000000001194
GBR_NP,1998,female,79.72,United Kingdom,0.12999999999999545
USA,1998,female,79.43,USA,0.05000000000001137
CAN,1998,male,75.91,Canada,0.25
FRATNP,1998,male,74.72,France,0.20999999999999375
JPN,1998,male,77.22,Japan,-0.030000000000001137
GBR_NP,1998,male,74.72,United Kingdom,0.15000000000000568
USA,1998,male,73.81,USA,0.269999999999996
CAN,1999,female,81.57,Canada,0.20999999999999375
FRATNP,1999,female,82.51,France,0.10000000000000853
JPN,1999,female,83.92,Japan,-0.010000000000005116
GBR_NP,1999,female,79.76,United Kingdom,0.04000000000000625
USA,1999,female,79.35,USA,-0.0800000000000125
CAN,1999,male,76.12,Canada,0.21000000000000796
FRATNP,1999,male,74.94,France,0.21999999999999886
JPN,1999,male,77.18,Japan,-0.03999999999999204
GBR_NP,1999,male,74.87,United Kingdom,0.15000000000000568
USA,1999,male,73.92,USA,0.10999999999999943
CAN,2000,female,81.78,Canada,0.21000000000000796
FRATNP,2000,female,82.8,France,0.28999999999999204
JPN,2000,female,84.53,Japan,0.6099999999999994
GBR_NP,2000,female,80.2,United Kingdom,0.4399999999999977
USA,2000,female,79.44,USA,0.09000000000000341
CAN,2000,male,76.59,Canada,0.46999999999999886
FRATNP,2000,male,75.24,France,0.29999999999999716
JPN,2000,male,77.7,Japan,0.519999999999996
GBR_NP,2000,male,75.38,United Kingdom,0.5099999999999909
USA,2000,male,74.12,USA,0.20000000000000284
CAN,2001,female,81.95,Canada,0.1700000000000017
FRATNP,2001,female,82.94,France,0.14000000000000057
JPN,2001,female,84.86,Japan,0.3299999999999983
GBR_NP,2001,female,80.43,United Kingdom,0.23000000000000398
USA,2001,female,79.53,USA,0.09000000000000341
CAN,2001,male,76.85,Canada,0.2599999999999909
FRATNP,2001,male,75.43,France,0.19000000000001194
JPN,2001,male,78.03,Japan,0.3299999999999983
GBR_NP,2001,male,75.7,United Kingdom,0.3200000000000074
USA,2001,male,74.27,USA,0.14999999999999147
CAN,2002,female,81.95,Canada,0
FRATNP,2002,female,83.03,France,0.09000000000000341
JPN,2002,female,85.16,Japan,0.29999999999999716
GBR_NP,2002,female,80.52,United Kingdom,0.0899999999999892
USA,2002,female,79.6,USA,0.06999999999999318
CAN,2002,male,77.08,Canada,0.23000000000000398
FRATNP,2002,male,75.71,France,0.2799999999999869
JPN,2002,male,78.29,Japan,0.2600000000000051
GBR_NP,2002,male,75.85,United Kingdom,0.14999999999999147
USA,2002,male,74.36,USA,0.09000000000000341
CAN,2003,female,82.15,Canada,0.20000000000000284
FRATNP,2003,female,82.95,France,-0.0799999999999983
JPN,2003,female,85.26,Japan,0.10000000000000853
GBR_NP,2003,female,80.49,United Kingdom,-0.030000000000001137
USA,2003,female,79.72,USA,0.12000000000000455
CAN,2003,male,77.22,Canada,0.14000000000000057
FRATNP,2003,male,75.81,France,0.10000000000000853
JPN,2003,male,78.34,Japan,0.04999999999999716
GBR_NP,2003,male,76.07,United Kingdom,0.21999999999999886
USA,2003,male,74.54,USA,0.18000000000000682
CAN,2004,female,82.37,Canada,0.21999999999999886
FRATNP,2004,female,83.86,France,0.9099999999999966
JPN,2004,female,85.52,Japan,0.2599999999999909
GBR_NP,2004,female,81.06,United Kingdom,0.5700000000000074
USA,2004,female,80.09,USA,0.37000000000000455
CAN,2004,male,77.59,Canada,0.37000000000000455
FRATNP,2004,male,76.68,France,0.8700000000000045
JPN,2004,male,78.62,Japan,0.28000000000000114
GBR_NP,2004,male,76.63,United Kingdom,0.5600000000000023
USA,2004,male,74.98,USA,0.4399999999999977
CAN,2005,female,82.44,Canada,0.06999999999999318
FRATNP,2005,female,83.82,France,-0.04000000000000625
JPN,2005,female,85.44,Japan,-0.0799999999999983
GBR_NP,2005,female,81.2,United Kingdom,0.14000000000000057
USA,2005,female,80.11,USA,0.01999999999999602
CAN,2005,male,77.73,Canada,0.14000000000000057
FRATNP,2005,male,76.72,France,0.03999999999999204
JPN,2005,male,78.52,Japan,-0.10000000000000853
GBR_NP,2005,male,76.91,United Kingdom,0.28000000000000114
USA,2005,male,74.98,USA,0
CAN,2006,female,82.83,Canada,0.39000000000000057
FRATNP,2006,female,84.17,France,0.3500000000000085
JPN,2006,female,85.73,Japan,0.29000000000000625
GBR_NP,2006,female,81.48,United Kingdom,0.28000000000000114
USA,2006,female,80.38,USA,0.269999999999996
CAN,2006,male,78.17,Canada,0.4399999999999977
FRATNP,2006,male,77.16,France,0.4399999999999977
JPN,2006,male,78.94,Japan,0.4200000000000017
GBR_NP,2006,male,77.12,United Kingdom,0.21000000000000796
USA,2006,male,75.27,USA,0.28999999999999204
CAN,2007,female,82.83,Canada,0
FRATNP,2007,female,84.37,France,0.20000000000000284
JPN,2007,female,85.91,Japan,0.1799999999999926
GBR_NP,2007,female,81.62,United Kingdom,0.14000000000000057
USA,2007,female,80.62,USA,0.2400000000000091
CAN,2007,male,78.2,Canada,0.030000000000001137
FRATNP,2007,male,77.39,France,0.23000000000000398
JPN,2007,male,79.13,Japan,0.18999999999999773
GBR_NP,2007,male,77.36,United Kingdom,0.23999999999999488
USA,2007,male,75.56,USA,0.29000000000000625
CAN,2008,female,82.97,Canada,0.14000000000000057
FRATNP,2008,female,84.32,France,-0.05000000000001137
JPN,2008,female,85.98,Japan,0.07000000000000739
GBR_NP,2008,female,81.68,United Kingdom,0.060000000000002274
USA,2008,female,80.67,USA,0.04999999999999716
CAN,2008,male,78.43,Canada,0.23000000000000398
FRATNP,2008,male,77.59,France,0.20000000000000284
JPN,2008,male,79.23,Japan,0.10000000000000853
GBR_NP,2008,male,77.55,United Kingdom,0.18999999999999773
USA,2008,male,75.71,USA,0.14999999999999147
CAN,2009,female,83.26,Canada,0.29000000000000625
FRATNP,2009,female,84.41,France,0.09000000000000341
JPN,2009,female,86.36,Japan,0.37999999999999545
GBR_NP,2009,female,82.2,United Kingdom,0.519999999999996
USA,2009,female,81,USA,0.3299999999999983
CAN,2009,male,78.82,Canada,0.38999999999998636
FRATNP,2009,male,77.75,France,0.1599999999999966
JPN,2009,male,79.54,Japan,0.3100000000000023
GBR_NP,2009,male,78.03,United Kingdom,0.480000000000004
USA,2009,male,76.09,USA,0.38000000000000966
CAN,2010,female,83.5,Canada,0.23999999999999488
FRATNP,2010,female,84.65,France,0.2400000000000091
JPN,2010,female,86.27,Japan,-0.09000000000000341
GBR_NP,2010,female,82.34,United Kingdom,0.14000000000000057
USA,2010,female,81.18,USA,0.18000000000000682
CAN,2010,male,79.15,Canada,0.3300000000000125
FRATNP,2010,male,78.01,France,0.2600000000000051
JPN,2010,male,79.54,Japan,0
GBR_NP,2010,male,78.36,United Kingdom,0.3299999999999983
USA,2010,male,76.33,USA,0.23999999999999488
CAN,2011,female,83.65,Canada,0.15000000000000568
FRATNP,2011,female,84.99,France,0.3399999999999892
JPN,2011,female,85.89,Japan,-0.37999999999999545
GBR_NP,2011,female,82.72,United Kingdom,0.37999999999999545
USA,2011,female,81.2,USA,0.01999999999999602
CAN,2011,male,79.38,Canada,0.22999999999998977
FRATNP,2011,male,78.43,France,0.4200000000000017
JPN,2011,male,79.44,Japan,-0.10000000000000853
GBR_NP,2011,male,78.78,United Kingdom,0.4200000000000017
USA,2011,male,76.42,USA,0.09000000000000341
CAN,2012,female,83.81,Canada,0.1599999999999966
FRATNP,2012,female,84.84,France,-0.14999999999999147
JPN,2012,female,86.4,Japan,0.5100000000000051
GBR_NP,2012,female,82.67,United Kingdom,-0.04999999999999716
USA,2012,female,81.33,USA,0.12999999999999545
CAN,2012,male,79.62,Canada,0.2400000000000091
FRATNP,2012,male,78.49,France,0.05999999999998806
JPN,2012,male,79.94,Japan,0.5
GBR_NP,2012,male,78.96,United Kingdom,0.1799999999999926
USA,2012,male,76.55,USA,0.12999999999999545
CAN,2013,female,83.88,Canada,0.06999999999999318
FRATNP,2013,female,85.04,France,0.20000000000000284
JPN,2013,female,86.6,Japan,0.19999999999998863
GBR_NP,2013,female,82.77,United Kingdom,0.09999999999999432
USA,2013,female,81.35,USA,0.01999999999999602
CAN,2013,male,79.76,Canada,0.14000000000000057
FRATNP,2013,male,78.77,France,0.28000000000000114
